Wed Apr 21 11:44:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 12:44:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 12:46:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 12:48:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 12:50:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 12:52:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 12:54:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 12:56:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 12:58:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:00:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:02:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:04:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:06:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:08:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:10:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:12:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:14:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:16:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:18:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:20:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:22:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:24:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:26:02 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:28:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:30:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:32:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:34:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:36:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:38:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:40:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:42:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:44:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:46:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:48:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:50:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:52:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:54:02 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:56:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:58:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:00:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:02:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:04:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:06:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:08:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:10:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:12:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:14:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:16:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:18:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:20:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:22:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:24:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:26:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:28:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:30:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:32:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:34:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:36:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:38:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:40:02 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:42:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:44:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:46:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:48:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:50:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:52:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:54:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:56:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:58:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:00:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:02:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:04:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:06:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:08:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:10:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:12:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:14:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:16:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:18:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:20:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:22:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:24:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:26:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:28:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:30:02 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:32:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:34:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:36:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:38:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:40:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:42:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:44:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:46:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:48:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:50:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:52:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:54:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
