Wed Apr 21 11:44:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 12:44:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 12:46:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 12:48:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 12:50:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 12:52:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 12:54:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 12:56:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 12:58:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:00:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:02:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:04:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:06:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:08:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:10:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:12:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:14:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:16:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:18:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:20:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:22:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:24:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:26:02 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:28:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:30:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:32:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:34:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:36:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:38:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:40:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:42:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:44:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:46:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:48:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:50:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:52:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:54:02 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:56:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 13:58:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:00:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:02:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:04:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:06:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:08:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:10:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:12:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:14:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:16:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:18:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:20:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:22:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:24:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:26:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:28:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:30:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:32:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:34:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:36:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:38:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:40:02 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:42:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:44:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:46:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:48:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:50:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:52:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:54:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:56:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:58:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:00:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:02:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:04:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:06:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:08:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:10:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:12:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:14:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:16:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:18:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:20:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:22:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:24:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:26:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:28:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:30:02 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:32:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:34:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:36:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:38:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:40:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:42:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:44:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:46:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:48:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:50:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:52:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:54:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:56:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:58:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:00:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:02:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:04:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:06:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:08:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:10:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:12:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:14:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:16:02 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:18:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:20:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:22:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:24:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:26:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:28:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:30:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:32:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:34:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:36:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:38:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:40:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:42:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:44:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:46:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:48:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:50:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:52:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:54:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:56:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:58:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:00:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:02:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:04:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:06:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:08:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:10:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:12:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:14:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:16:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:18:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:20:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:22:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:24:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:26:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:28:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:30:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:32:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:34:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:36:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:38:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:40:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:42:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:44:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:46:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:48:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:50:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:52:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:54:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:56:02 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 17:58:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:00:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:02:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:04:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:06:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:08:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:10:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:12:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:14:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:16:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:18:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:20:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:22:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:24:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:26:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:28:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:30:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:32:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:34:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:36:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:38:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:40:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:42:02 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:44:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:46:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:48:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:50:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:52:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:54:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:56:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 18:58:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:00:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:02:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:04:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:06:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:08:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:10:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:12:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:14:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:16:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:18:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:20:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:22:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:24:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:26:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:28:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:30:02 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:32:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:34:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:36:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:38:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:40:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:42:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:44:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:46:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:48:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:50:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:52:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:54:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:56:02 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 19:58:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 20:00:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 20:02:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 20:04:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 20:06:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 20:08:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 20:10:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 20:12:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 20:14:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 20:16:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 20:18:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
